,ZAI,Reaction MT,Extrapolation Size [d],Previous Steps,Extrapolation Scheme,Absolute Relative Error [%],Axial Node,ZAI Reaction,Step size $[d]$
8,541350,102,1.0,1,constant,0.1850617504727925,0,"Xe135 $(n, \gamma )$",1
9,541350,102,1.0,1,linear,0.6313233947315755,0,"Xe135 $(n, \gamma )$",1
10,641550,102,1.0,1,constant,0.17518123065440871,0,"Gd155 $(n, \gamma )$",1
11,641550,102,1.0,1,linear,0.43303791980477957,0,"Gd155 $(n, \gamma )$",1
24,541350,102,1.0,2,constant,0.15877918854625417,0,"Xe135 $(n, \gamma )$",1
25,541350,102,1.0,2,linear,0.3863807557455301,0,"Xe135 $(n, \gamma )$",1
26,541350,102,1.0,2,quadratic,0.9987373532109212,0,"Xe135 $(n, \gamma )$",1
27,641550,102,1.0,2,constant,0.1285502555882001,0,"Gd155 $(n, \gamma )$",1
28,641550,102,1.0,2,linear,0.35439541050377166,0,"Gd155 $(n, \gamma )$",1
29,641550,102,1.0,2,quadratic,0.551001683756458,0,"Gd155 $(n, \gamma )$",1
42,541350,102,1.0,3,constant,0.29872705694915513,0,"Xe135 $(n, \gamma )$",1
43,541350,102,1.0,3,linear,0.007315764659998614,0,"Xe135 $(n, \gamma )$",1
44,541350,102,1.0,3,quadratic,1.1300146857180282,0,"Xe135 $(n, \gamma )$",1
45,641550,102,1.0,3,constant,0.28936410473563434,0,"Gd155 $(n, \gamma )$",1
46,641550,102,1.0,3,linear,0.08015486524913795,0,"Gd155 $(n, \gamma )$",1
47,641550,102,1.0,3,quadratic,1.0553723924442426,0,"Gd155 $(n, \gamma )$",1
56,541350,102,1.0,1,constant,0.19333823085552204,1,"Xe135 $(n, \gamma )$",1
57,541350,102,1.0,1,linear,0.23804235787221462,1,"Xe135 $(n, \gamma )$",1
58,641550,102,1.0,1,constant,0.08820111967886568,1,"Gd155 $(n, \gamma )$",1
59,641550,102,1.0,1,linear,0.6295552973487162,1,"Gd155 $(n, \gamma )$",1
72,541350,102,1.0,2,constant,0.2579741342490838,1,"Xe135 $(n, \gamma )$",1
73,541350,102,1.0,2,linear,0.07972710550745443,1,"Xe135 $(n, \gamma )$",1
74,541350,102,1.0,2,quadratic,0.4755152364195103,1,"Xe135 $(n, \gamma )$",1
75,641550,102,1.0,2,constant,0.12886870180626175,1,"Gd155 $(n, \gamma )$",1
76,641550,102,1.0,2,linear,0.23238618358514262,1,"Gd155 $(n, \gamma )$",1
77,641550,102,1.0,2,quadratic,1.225308967994243,1,"Gd155 $(n, \gamma )$",1
90,541350,102,1.0,3,constant,0.3234642566301682,1,"Xe135 $(n, \gamma )$",1
91,541350,102,1.0,3,linear,0.041856730391431896,1,"Xe135 $(n, \gamma )$",1
92,541350,102,1.0,3,quadratic,0.2354797009094578,1,"Xe135 $(n, \gamma )$",1
93,641550,102,1.0,3,constant,0.23634731171435774,1,"Gd155 $(n, \gamma )$",1
94,641550,102,1.0,3,linear,0.2667159607056768,1,"Gd155 $(n, \gamma )$",1
95,641550,102,1.0,3,quadratic,0.42912221400664974,1,"Gd155 $(n, \gamma )$",1
104,541350,102,1.0,1,constant,0.14317531021315055,2,"Xe135 $(n, \gamma )$",1
105,541350,102,1.0,1,linear,0.09892112341999271,2,"Xe135 $(n, \gamma )$",1
106,641550,102,1.0,1,constant,0.1284767856663649,2,"Gd155 $(n, \gamma )$",1
107,641550,102,1.0,1,linear,0.11855269157527992,2,"Gd155 $(n, \gamma )$",1
120,541350,102,1.0,2,constant,0.1989992190437606,2,"Xe135 $(n, \gamma )$",1
121,541350,102,1.0,2,linear,0.049171318659102514,2,"Xe135 $(n, \gamma )$",1
122,541350,102,1.0,2,quadratic,0.1735458305613724,2,"Xe135 $(n, \gamma )$",1
123,641550,102,1.0,2,constant,0.20903181968547901,2,"Gd155 $(n, \gamma )$",1
124,641550,102,1.0,2,linear,0.11497644145237462,2,"Gd155 $(n, \gamma )$",1
125,641550,102,1.0,2,quadratic,0.12391706675968228,2,"Gd155 $(n, \gamma )$",1
138,541350,102,1.0,3,constant,0.280999623984024,2,"Xe135 $(n, \gamma )$",1
139,541350,102,1.0,3,linear,0.0890868596882477,2,"Xe135 $(n, \gamma )$",1
140,541350,102,1.0,3,quadratic,0.02039163509123254,2,"Xe135 $(n, \gamma )$",1
141,641550,102,1.0,3,constant,0.26660944666467845,2,"Gd155 $(n, \gamma )$",1
142,641550,102,1.0,3,linear,0.06812756484191329,2,"Gd155 $(n, \gamma )$",1
143,641550,102,1.0,3,quadratic,0.18748491269466872,2,"Gd155 $(n, \gamma )$",1
152,541350,102,1.0,1,constant,0.12504236248260803,3,"Xe135 $(n, \gamma )$",1
153,541350,102,1.0,1,linear,0.0712858328171917,3,"Xe135 $(n, \gamma )$",1
154,641550,102,1.0,1,constant,0.12293861193095612,3,"Gd155 $(n, \gamma )$",1
155,641550,102,1.0,1,linear,0.10777437786025912,3,"Gd155 $(n, \gamma )$",1
168,541350,102,1.0,2,constant,0.19243279459943974,3,"Xe135 $(n, \gamma )$",1
169,541350,102,1.0,2,linear,0.0751812335176627,3,"Xe135 $(n, \gamma )$",1
170,541350,102,1.0,2,quadratic,0.0654427317665851,3,"Xe135 $(n, \gamma )$",1
171,641550,102,1.0,2,constant,0.1671676279708212,3,"Gd155 $(n, \gamma )$",1
172,641550,102,1.0,2,linear,0.04242375007902366,3,"Gd155 $(n, \gamma )$",1
173,641550,102,1.0,2,quadratic,0.20580031953226774,3,"Gd155 $(n, \gamma )$",1
186,541350,102,1.0,3,constant,0.22583585560529418,3,"Xe135 $(n, \gamma )$",1
187,541350,102,1.0,3,linear,0.008180341470875874,3,"Xe135 $(n, \gamma )$",1
188,541350,102,1.0,3,quadratic,0.17324794614984595,3,"Xe135 $(n, \gamma )$",1
189,641550,102,1.0,3,constant,0.1972704378672363,3,"Gd155 $(n, \gamma )$",1
190,641550,102,1.0,3,linear,0.002166319152929752,3,"Gd155 $(n, \gamma )$",1
191,641550,102,1.0,3,quadratic,0.15015299629009826,3,"Gd155 $(n, \gamma )$",1
200,541350,102,1.0,1,constant,0.015914931742599947,4,"Xe135 $(n, \gamma )$",1
201,541350,102,1.0,1,linear,0.15207601442953633,4,"Xe135 $(n, \gamma )$",1
202,641550,102,1.0,1,constant,0.025131530783406575,4,"Gd155 $(n, \gamma )$",1
203,641550,102,1.0,1,linear,0.2649737484770931,4,"Gd155 $(n, \gamma )$",1
216,541350,102,1.0,2,constant,0.11592357689074184,4,"Xe135 $(n, \gamma )$",1
217,541350,102,1.0,2,linear,0.240099340611033,4,"Xe135 $(n, \gamma )$",1
218,541350,102,1.0,2,quadratic,0.020041025157180314,4,"Xe135 $(n, \gamma )$",1
